GDLCODE,Region
NGAt,Total
NGAr122,Abia
NGAr137,Abuja FCT
NGAr108,Adamawa
NGAr101,Akwa Ibom
NGAr102,Anambra
NGAr103,Bauchi
NGAr131,Bayelsa
NGAr105,Benue
NGAr106,Borno
NGAr107,Cross River
NGAr123,Delta
NGAr132,Ebonyi
NGAr104,Edo
NGAr133,Ekiti
NGAr124,Enugu
NGAr134,Gombe
NGAr109,Imo
NGAr125,Jigawa
NGAr110,Kaduna
NGAr111,Kano
NGAr112,Katsina
NGAr126,Kebbi
NGAr127,Kogi
NGAr113,Kwara
NGAr114,Lagos
NGAr135,Nassarawa
NGAr115,Niger
NGAr116,Ogun
NGAr117,Ondo
NGAr128,Osun
NGAr118,Oyo
NGAr119,Plateau
NGAr120,Rivers
NGAr121,Sokoto
NGAr129,Taraba
NGAr130,Yobe
NGAr136,Zamfora
